date,content,retweetCount,likeCount,lang,hashtags,time,datetime,hour,coin
2021-11-15 14:56:12+00:00,@kucoincom It's all about #KISHU 🔥🔥🔥 Am i Right ??? @InuKishu 💖💖💖,0,1,en,['KISHU'],14:56:12+0,2021-11-15 14:56:12+00:00,14,KISHU
2021-11-15 13:08:35+00:00,@InuKishu @kucoincom #kishu,0,4,qme,['kishu'],13:08:35+0,2021-11-15 13:08:35+00:00,13,KISHU
2021-11-15 12:49:00+00:00,meme token revengers 🔥  #SHIB #FEG #BabyDogeCoin #KISHU #BuffDogeCoin https://t.co/J3zABXfikM,251,797,en,"['SHIB', 'FEG', 'BabyDogeCoin', 'KISHU', 'BuffDogeCoin']",12:49:00+0,2021-11-15 12:49:00+00:00,12,KISHU
2021-11-15 11:07:31+00:00,@kucoincom @AutomataNetwork @cartesiproject @THORChain @TheLTONetwork @NKN_ORG #kishu https://t.co/RI98kDmJJa,0,0,qme,['kishu'],11:07:31+0,2021-11-15 11:07:31+00:00,11,KISHU
2021-11-15 07:48:25+00:00,@WatcherGuru #KISHU Of course!!!,0,0,en,['KISHU'],07:48:25+0,2021-11-15 07:48:25+00:00,07,KISHU
2021-11-15 07:40:03+00:00,@WatcherGuru #kishu,0,0,qme,['kishu'],07:40:03+0,2021-11-15 07:40:03+00:00,07,KISHU
2021-11-15 07:25:09+00:00,😈💷👽💵 #mizo #shiba #Binance #BTC #SHIBARMY #electrogami #NFT #NFTshill #KISHU #yooshi #HOKKForce 🌕🤫,0,1,und,"['mizo', 'shiba', 'Binance', 'BTC', 'SHIBARMY', 'electrogami', 'NFT', 'NFTshill', 'KISHU', 'yooshi', 'HOKKForce']",07:25:09+0,2021-11-15 07:25:09+00:00,07,KISHU
2021-11-15 02:08:08+00:00,@davidgokhshtein #Kishu 🚀🚀,0,1,qme,['Kishu'],02:08:08+0,2021-11-15 02:08:08+00:00,02,KISHU
2021-11-15 00:59:15+00:00,@flurnft #Memecoins in my bags!! #SHIB #KISHU #ELON  https://t.co/MFZ5uSz1wM,0,1,en,"['Memecoins', 'SHIB', 'KISHU', 'ELON']",00:59:15+0,2021-11-15 00:59:15+00:00,00,KISHU
2021-11-15 00:25:00+00:00,"Top 10 #Cryptocurrency Live Prices:  (07:25 PM . Nov 14,2021)  #BTC $66077.67 #ETH $4674.05 #BNB $655.94 #DOGE $0.26 #SHIB $0.0000529316 #ADA $2.06 #SOL $241.13 #XRP $1.20 #DOT $47.00 #KISHU $0.0000000054  Comments! Which coins would like to be listed?",0,0,en,"['Cryptocurrency', 'BTC', 'ETH', 'BNB', 'DOGE', 'SHIB', 'ADA', 'SOL', 'XRP', 'DOT', 'KISHU']",00:25:00+0,2021-11-15 00:25:00+00:00,00,KISHU
2021-11-14 21:49:23+00:00,@WatcherGuru #kishu ✋🏻,0,0,qme,['kishu'],21:49:23+0,2021-11-14 21:49:23+00:00,21,KISHU
2021-11-14 21:23:38+00:00,@KishuTurkiye @TheBullduck #kishu,0,0,qme,['kishu'],21:23:38+0,2021-11-14 21:23:38+00:00,21,KISHU
2021-11-14 18:12:58+00:00,@KishuTurkiye @TheBullduck #kishu hodl,0,0,cs,['kishu'],18:12:58+0,2021-11-14 18:12:58+00:00,18,KISHU
2021-11-14 17:54:26+00:00,@michael01034536 @opensea $KISHU #Kishuverse,0,0,qme,['Kishuverse'],17:54:26+0,2021-11-14 17:54:26+00:00,17,KISHU
2021-11-14 17:51:35+00:00,🌙🌙🌙 #kishu,0,0,qme,['kishu'],17:51:35+0,2021-11-14 17:51:35+00:00,17,KISHU
2021-11-14 17:33:49+00:00,@WatcherGuru #KISHU,0,0,qme,['KISHU'],17:33:49+0,2021-11-14 17:33:49+00:00,17,KISHU
2021-11-14 16:41:18+00:00,Been holding crypto @InuKishu Almost miss its drop😅 #kishu #kishuverse #inukishu #nfts #NFTshilling #nftcollectors #NFTCommunity #NFTcollectibles https://t.co/50qMmZBJ4k,0,5,en,"['kishu', 'kishuverse', 'inukishu', 'nfts', 'NFTshilling', 'nftcollectors', 'NFTCommunity', 'NFTcollectibles']",16:41:18+0,2021-11-14 16:41:18+00:00,16,KISHU
2021-11-14 16:15:26+00:00,@Zoeyfx_ @kishuarmyMOD #kishu,0,1,qme,['kishu'],16:15:26+0,2021-11-14 16:15:26+00:00,16,KISHU
